customerID,churn_probability,risk_level,model_used
7590-VHVEG,0.8049,High,Logistic Regression
5575-GNVDE,0.1155,Low,Logistic Regression
3668-QPYBK,0.535,Medium,Logistic Regression
7795-CFOCW,0.0788,Low,Logistic Regression
9237-HQITU,0.8536,High,Logistic Regression
9305-CDSKC,0.9093,High,Logistic Regression
1452-KIOVK,0.7215,High,Logistic Regression
6713-OKOMC,0.5237,Medium,Logistic Regression
7892-POOKP,0.8171,High,Logistic Regression
6388-TABGU,0.0331,Low,Logistic Regression
9763-GRSKD,0.4112,Medium,Logistic Regression
7469-LKBCI,0.0731,Low,Logistic Regression
8091-TTVAX,0.3907,Low,Logistic Regression
0280-XJGEX,0.6863,Medium,Logistic Regression
5129-JLPIS,0.7092,High,Logistic Regression
3655-SNQYZ,0.0876,Low,Logistic Regression
8191-XWSZG,0.0324,Low,Logistic Regression
9959-WOFKT,0.1067,Low,Logistic Regression
4190-MFLUW,0.3447,Low,Logistic Regression
4183-MYFRB,0.7842,High,Logistic Regression
8779-QRDMV,0.8756,High,Logistic Regression
1680-VDCWW,0.1577,Low,Logistic Regression
1066-JKSGK,0.39,Low,Logistic Regression
3638-WEABW,0.0473,Low,Logistic Regression
6322-HRPFA,0.0806,Low,Logistic Regression
6865-JZNKO,0.2689,Low,Logistic Regression
6467-CHFZW,0.7368,High,Logistic Regression
8665-UTDHZ,0.7051,High,Logistic Regression
5248-YGIJN,0.0453,Low,Logistic Regression
8773-HHUOZ,0.5999,Medium,Logistic Regression
3841-NFECX,0.0744,Low,Logistic Regression
4929-XIHVW,0.8796,High,Logistic Regression
6827-IEAUQ,0.0793,Low,Logistic Regression
7310-EGVHZ,0.3774,Low,Logistic Regression
3413-BMNZE,0.6179,Medium,Logistic Regression
6234-RAAPL,0.0538,Low,Logistic Regression
6047-YHPVI,0.8487,High,Logistic Regression
6572-ADKRS,0.5016,Medium,Logistic Regression
5380-WJKOV,0.8143,High,Logistic Regression
8168-UQWWF,0.8684,High,Logistic Regression
8865-TNMNX,0.2624,Low,Logistic Regression
9489-DEDVP,0.0344,Low,Logistic Regression
9867-JCZSP,0.1084,Low,Logistic Regression
4671-VJLCL,0.0382,Low,Logistic Regression
4080-IIARD,0.5395,Medium,Logistic Regression
3714-NTNFO,0.7071,High,Logistic Regression
5948-UJZLF,0.5533,Medium,Logistic Regression
7760-OYPDY,0.8787,High,Logistic Regression
7639-LIAYI,0.0867,Low,Logistic Regression
2954-PIBKO,0.0203,Low,Logistic Regression
8012-SOUDQ,0.7473,High,Logistic Regression
9420-LOJKX,0.721,High,Logistic Regression
6575-SUVOI,0.434,Medium,Logistic Regression
7495-OOKFY,0.8063,High,Logistic Regression
4667-QONEA,0.0616,Low,Logistic Regression
1658-BYGOY,0.904,High,Logistic Regression
8769-KKTPH,0.3048,Low,Logistic Regression
5067-XJQFU,0.4207,Medium,Logistic Regression
3957-SQXML,0.0354,Low,Logistic Regression
5954-BDFSG,0.1825,Low,Logistic Regression
0434-CSFON,0.7848,High,Logistic Regression
1215-FIGMP,0.5304,Medium,Logistic Regression
0526-SXDJP,0.0184,Low,Logistic Regression
0557-ASKVU,0.2153,Low,Logistic Regression
5698-BQJOH,0.8797,High,Logistic Regression
5122-CYFXA,0.7144,High,Logistic Regression
8627-ZYGSZ,0.4632,Medium,Logistic Regression
3410-YOQBQ,0.1135,Low,Logistic Regression
3170-NMYVV,0.0136,Low,Logistic Regression
7410-OIEDU,0.6864,Medium,Logistic Regression
2273-QCKXA,0.516,Medium,Logistic Regression
0731-EBJQB,0.052,Low,Logistic Regression
1891-QRQSA,0.1536,Low,Logistic Regression
8028-PNXHQ,0.0162,Low,Logistic Regression
5630-AHZIL,0.4553,Medium,Logistic Regression
2673-CXQEU,0.4149,Medium,Logistic Regression
6416-JNVRK,0.1481,Low,Logistic Regression
5590-ZSKRV,0.3387,Low,Logistic Regression
0191-ZHSKZ,0.5466,Medium,Logistic Regression
3887-PBQAO,0.061,Low,Logistic Regression
5919-TMRGD,0.8614,High,Logistic Regression
8108-UXRQN,0.6619,Medium,Logistic Regression
9191-MYQKX,0.7666,High,Logistic Regression
9919-YLNNG,0.5823,Medium,Logistic Regression
0318-ZOPWS,0.025,Low,Logistic Regression
4445-ZJNMU,0.8591,High,Logistic Regression
4808-YNLEU,0.1846,Low,Logistic Regression
1862-QRWPE,0.015,Low,Logistic Regression
2796-NNUFI,0.024,Low,Logistic Regression
3016-KSVCP,0.5209,Medium,Logistic Regression
4767-HZZHQ,0.448,Medium,Logistic Regression
2424-WVHPL,0.7893,High,Logistic Regression
7233-PAHHL,0.0533,Low,Logistic Regression
6067-NGCEU,0.4833,Medium,Logistic Regression
9848-JQJTX,0.2442,Low,Logistic Regression
8637-XJIVR,0.7907,High,Logistic Regression
9803-FTJCG,0.0348,Low,Logistic Regression
0278-YXOOG,0.3441,Low,Logistic Regression
3212-KXOCR,0.0159,Low,Logistic Regression
4598-XLKNJ,0.8431,High,Logistic Regression
6380-ARCEH,0.3896,Low,Logistic Regression
3679-XASPY,0.4206,Medium,Logistic Regression
7123-WQUHX,0.365,Low,Logistic Regression
5386-THSLQ,0.104,Low,Logistic Regression
3192-NQECA,0.1993,Low,Logistic Regression
6180-YBIQI,0.6811,Medium,Logistic Regression
6728-DKUCO,0.3143,Low,Logistic Regression
9750-BOOHV,0.1759,Low,Logistic Regression
8597-CWYHH,0.5009,Medium,Logistic Regression
2848-YXSMW,0.0057,Low,Logistic Regression
0486-HECZI,0.5595,Medium,Logistic Regression
4549-ZDQYY,0.0503,Low,Logistic Regression
5712-AHQNN,0.651,Medium,Logistic Regression
4846-WHAFZ,0.7466,High,Logistic Regression
5256-SKJGO,0.0853,Low,Logistic Regression
3071-VBYPO,0.7063,High,Logistic Regression
9560-BBZXK,0.0768,Low,Logistic Regression
